City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Dwarka,IN,80.74,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
418,Saint-Leu,RE,80.6,light rain,-21.15,55.2833,La Caz Oceane
419,Sao Filipe,CV,77.72,clear sky,14.8961,-24.4956,Tortuga B&B
421,Mindelo,CV,77.0,few clouds,16.8901,-24.9804,Hotel Gaudi
423,Thio,NC,77.0,overcast clouds,-21.6167,166.2167,La Ferme de Thio
427,Quatre Cocos,MU,80.01,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
431,Saint Pete Beach,US,82.4,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
432,Mabaruma,GY,82.24,overcast clouds,8.2,-59.7833,
433,Malangwa,NP,80.96,clear sky,26.8568,85.5581,Prem Meat House
434,Ouidah,BJ,86.0,scattered clouds,6.3631,2.0851,Djegba Hotel
440,Epe,NG,85.75,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
442,Itarema,BR,86.29,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
448,Bowen,AU,75.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
451,Yaring,TH,80.49,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
452,Pontalina,BR,83.32,clear sky,-17.525,-49.4472,Hotel Entre Rios
460,Qandala,SO,85.03,clear sky,11.472000000000001,49.8728,
461,Honiara,SB,77.7,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
464,Amalapuram,IN,77.16,clear sky,16.5833,82.0167,swayamprabha service apartments
465,Barentu,ER,84.25,broken clouds,15.1139,37.5928,
467,Sinnamary,GF,82.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
469,Road Town,VG,84.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
473,Tarauaca,BR,81.97,overcast clouds,-8.1614,-70.7656,Flat Temporada
474,Ilhabela,BR,80.67,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
479,Oranjestad,AW,86.0,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
481,Pimentel,PE,77.0,broken clouds,-6.8367,-79.9342,Casona Del Muelle
