City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Paracuru,BR,-3.41,-39.0306,84.0,70,88,20.0,overcast clouds
226,Faya,SA,18.3851,42.4509,71.6,37,40,12.66,scattered clouds
227,Ciudad Real,ES,39.0,-4.0,63.0,66,83,1.01,broken clouds
228,Katsuura,JP,35.1333,140.3,50.0,62,40,8.05,scattered clouds
229,Tautira,PF,-17.7333,-149.15,78.8,73,40,4.61,light rain
230,Ofaqim,IL,31.3141,34.6203,53.01,57,8,1.01,clear sky
231,Leningradskiy,RU,69.3833,178.4167,-17.12,99,100,2.35,overcast clouds
232,Elko,US,41.0002,-115.5012,60.01,22,0,11.99,clear sky
233,Conceicao Do Araguaia,BR,-8.2578,-49.2647,89.6,55,20,9.22,few clouds
234,Gornyatskiy,RU,48.2915,40.9575,46.35,78,100,11.7,overcast clouds
235,Marsa Matruh,EG,31.3525,27.2453,59.0,44,0,18.41,clear sky
236,Kodiak,US,57.79,-152.4072,28.4,69,90,4.61,light snow
237,Almonte,ES,37.2647,-6.5167,71.01,64,17,11.01,few clouds
238,Amapa,BR,1.0,-52.0,80.08,84,100,2.98,overcast clouds
239,Umm Kaddadah,SD,13.6017,26.6876,83.62,7,9,11.97,clear sky
240,Puerto Colombia,CO,10.9878,-74.9547,89.6,62,40,9.22,scattered clouds
241,Bonthe,SL,7.5264,-12.505,84.9,70,83,10.36,light rain
242,Mucuri,BR,-18.0864,-39.5508,80.71,65,27,10.07,scattered clouds
243,Muroto,JP,33.2833,134.15,54.82,58,39,13.04,scattered clouds
244,Uyuni,BO,-20.4597,-66.825,62.55,19,12,12.93,few clouds
245,Nusaybin,TR,37.0778,41.2178,64.4,32,0,9.22,clear sky
246,Wagar,SD,16.1525,36.2032,86.58,31,13,23.89,few clouds
247,Broome,US,42.2506,-75.833,68.0,65,74,1.99,broken clouds
248,San Cristobal,VE,7.7669,-72.225,82.4,57,40,25.32,scattered clouds
249,Cidreira,BR,-30.1811,-50.2056,82.71,55,89,8.23,overcast clouds
250,Graaff-Reinet,ZA,-32.2522,24.5308,80.01,27,67,1.72,broken clouds
251,Rokytne,UA,51.2796,27.214,47.95,61,39,7.16,scattered clouds
252,Srednekolymsk,RU,67.45,153.6833,-12.15,97,100,7.52,overcast clouds
253,Airai,TL,-8.9266,125.4092,57.45,79,31,1.32,scattered clouds
254,Coquimbo,CL,-29.9533,-71.3436,66.2,63,0,9.22,clear sky
255,Bethel,US,41.3712,-73.414,68.0,59,75,6.91,broken clouds
256,Dunedin,NZ,-45.8742,170.5036,57.7,74,100,4.72,overcast clouds
257,Kavaratti,IN,10.5669,72.642,83.1,70,0,7.63,clear sky
258,Dolores,AR,-36.3132,-57.6792,65.08,83,98,16.28,overcast clouds
259,Mount Isa,AU,-20.7333,139.5,78.8,31,47,19.57,scattered clouds
260,Port Augusta,AU,-32.5,137.7667,59.0,82,75,9.22,broken clouds
261,Port Arthur,CN,38.8,121.2667,55.4,35,0,6.71,clear sky
262,Krasnoselkup,RU,65.7,82.4667,32.54,98,100,13.42,light snow
263,Grand-Santi,GF,4.25,-54.3833,81.23,87,90,3.11,overcast clouds
264,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,51,0,12.66,clear sky
265,Conceicao Da Barra,BR,-18.5933,-39.7322,82.06,59,36,10.33,scattered clouds
266,Vysokogornyy,RU,50.1167,139.15,24.39,85,7,3.09,clear sky
267,Kysyl-Syr,RU,63.8986,122.7617,8.33,88,100,7.2,overcast clouds
268,Kapuskasing,CA,49.4169,-82.4331,55.4,76,96,14.97,overcast clouds
269,Moron,AR,-34.6534,-58.6198,70.0,98,100,4.0,overcast clouds
270,Port Hardy,CA,50.6996,-127.4199,39.2,93,40,6.91,light rain
271,Molochnoye,RU,59.2917,39.6787,39.74,76,93,15.37,overcast clouds
272,Norwich,GB,52.6278,1.2983,44.6,57,20,16.11,few clouds
273,Chokurdakh,RU,70.6333,147.9167,-32.1,100,83,4.07,broken clouds
274,Makakilo City,US,21.3469,-158.0858,69.8,77,90,4.61,overcast clouds
275,Turukhansk,RU,65.8167,87.9833,32.59,95,100,17.78,light snow
276,Quatre Cocos,MU,-20.2078,57.7625,80.01,94,75,10.36,broken clouds
277,Calvia,ES,39.5657,2.5062,64.0,64,99,3.0,overcast clouds
278,Manokwari,ID,-0.8667,134.0833,77.9,81,100,3.18,moderate rain
279,Sesheke,ZM,-17.4759,24.2968,70.56,39,1,6.46,clear sky
280,Yulara,AU,-25.2406,130.9889,66.2,48,0,10.36,clear sky
281,Zemetchino,RU,53.4973,42.6163,39.6,80,82,6.42,broken clouds
282,Rock Sound,BS,24.9,-76.2,75.45,65,74,16.6,broken clouds
283,Bontang,ID,0.1333,117.5,78.4,86,84,3.31,broken clouds
284,Awbari,LY,26.5921,12.7805,83.55,14,87,14.16,overcast clouds
285,Russell,US,32.3502,-85.1999,62.6,94,90,10.36,moderate rain
286,Lorengau,PG,-2.0226,147.2712,80.29,81,100,15.39,moderate rain
287,Cap-Aux-Meules,CA,47.3821,-61.8597,35.6,64,91,18.41,overcast clouds
288,Anadyr,RU,64.75,177.4833,5.0,66,0,8.95,clear sky
289,Inverell,AU,-29.7833,151.1167,50.0,68,0,3.96,clear sky
290,Zamora,EC,-4.0692,-78.9567,80.6,50,40,3.44,moderate rain
291,Barra Dos Coqueiros,BR,-10.9089,-37.0386,86.0,66,40,13.8,scattered clouds
292,Sidi Ali,DZ,36.0998,0.4206,62.74,72,96,17.83,overcast clouds
293,San Quintin,MX,30.4833,-115.95,63.07,73,47,10.74,scattered clouds
294,Burnie,AU,-41.0667,145.9167,42.01,84,48,18.01,light rain
295,Douala,CM,4.0483,9.7043,87.8,70,40,4.61,scattered clouds
296,Akdepe,TM,42.0551,59.3788,71.6,24,0,9.22,clear sky
297,Eureka,US,40.8021,-124.1637,50.0,71,64,4.0,broken clouds
298,Porto Walter,BR,-8.2686,-72.7439,85.05,66,100,3.89,overcast clouds
299,Roald,NO,62.5833,6.1333,35.6,87,75,19.57,broken clouds
300,Port Macquarie,AU,-31.4333,152.9167,55.99,90,9,1.01,clear sky
301,Loandjili,CG,-4.7561,11.8578,86.0,74,40,9.22,scattered clouds
302,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,48.2,66,96,13.8,overcast clouds
303,Pingliang,CN,35.5392,106.6861,45.07,94,100,1.03,light rain
304,Pacific Grove,US,36.6177,-121.9166,52.0,77,96,6.22,overcast clouds
305,Tromso,NO,69.6496,18.957,33.8,80,75,24.16,snow
306,Codrington,AU,-38.2667,141.9667,50.79,65,100,27.67,overcast clouds
307,Auki,SB,-8.7676,160.7034,76.32,87,100,4.94,light rain
308,Tawang,IN,27.5833,91.8667,42.64,90,35,0.63,scattered clouds
309,Souillac,MU,-20.5167,57.5167,77.0,94,75,10.36,broken clouds
310,Iqaluit,CA,63.7506,-68.5145,21.2,79,90,10.36,overcast clouds
311,Kangaatsiaq,GL,68.3065,-53.4641,22.1,77,100,1.41,overcast clouds
312,Kudahuvadhoo,MV,2.6708,72.8944,83.05,73,59,10.2,broken clouds
313,Dutlwe,BW,-23.9833,23.9,76.57,29,0,3.0,clear sky
314,Hobyo,SO,5.3505,48.5268,83.03,66,14,13.2,few clouds
315,Pajapan,MX,18.25,-94.7,89.6,40,1,20.71,clear sky
316,Westport,US,41.1415,-73.3579,64.0,76,75,6.91,broken clouds
317,Ixtlahuacan Del Rio,MX,20.8667,-103.25,77.0,23,1,4.05,clear sky
318,Fairbanks,US,64.8378,-147.7164,-9.0,69,1,6.91,clear sky
